"grid_id","lon","lat","geom"
2239,-117.9156219192463,34.11072949289073,"POLYGON((-117.92104544871897 34.10622555061525,-117.91020748827349 34.106217983205404,-117.91019780558693 34.11523327274023,-117.92103693473209 34.11524084096816,-117.92104544871897 34.10622555061525))"
2240,-117.90478337548461,34.11072143902073,"POLYGON((-117.91020748827349 34.106217983205404,-117.8993695299158 34.10620944374595,-117.89935867853019 34.115224732357596,-117.91019780558693 34.11523327274023,-117.91020748827349 34.106217983205404))"
2241,-117.89394483393701,34.11071241304871,"POLYGON((-117.8993695299158 34.10620944374595,-117.88853157389791 34.10619993223719,-117.88851955381405 34.11521521982058,-117.89935867853019 34.115224732357596,-117.8993695299158 34.10620944374595))"
2242,-117.8831062948556,34.11070241497502,"POLYGON((-117.88853157389791 34.10619993223719,-117.8776936204718 34.10618944867948,-117.87768043169051 34.1152047351295,-117.88851955381405 34.11521521982058,-117.88853157389791 34.10619993223719))"
2243,-117.87226775849244,34.11069144480001,"POLYGON((-117.8776936204718 34.10618944867948,-117.86685566988947 34.10617799307315,-117.86684131241167 34.115193278284764,-117.87768043169051 34.1152047351295,-117.8776936204718 34.10618944867948))"
2244,-117.86142922509949,34.11067950252404,"POLYGON((-117.86685566988947 34.10617799307315,-117.85601772240292 34.10616556541864,-117.8560021962296 34.115180849286716,-117.86684131241167 34.115193278284764,-117.86685566988947 34.10617799307315))"
2245,-117.85059069492887,34.11066658814753,"POLYGON((-117.85601772240292 34.10616556541864,-117.84517977826414 34.10615216571635,-117.84516308339641 34.11516744813583,-117.8560021962296 34.115180849286716,-117.85601772240292 34.10616556541864))"
2246,-117.83975216823258,34.110652701670965,"POLYGON((-117.84517977826414 34.10615216571635,-117.83434183772513 34.106137793966774,-117.83432397416415 34.11515307483255,-117.84516308339641 34.11516744813583,-117.84517977826414 34.10615216571635))"
2247,-117.82891364526266,34.1106378430948,"POLYGON((-117.83434183772513 34.106137793966774,-117.82350390103787 34.10612245017038,-117.82348486878489 34.115137729377395,-117.83432397416415 34.11515307483255,-117.83434183772513 34.106137793966774))"
2248,-117.81807512627114,34.11062201241956,"POLYGON((-117.82350390103787 34.10612245017038,-117.81266596845438 34.10610613432775,-117.81264576751069 34.115121411770915,-117.82348486878489 34.115137729377395,-117.82350390103787 34.10612245017038))"
